campus,program_id,program_name,place_type,filename,url
Москва,36634870561,Политика. Экономика. Философия,Commercial,36634870561_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634870561_Commercial.xlsx
Москва,36634767368,Право международной торговли и разрешение споров,Budget,36634767368_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634767368_Budget.xlsx
Москва,36634767368,Право международной торговли и разрешение споров,Commercial,36634767368_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634767368_Commercial.xlsx
Москва,36635053719,Практики кураторства в современном искусстве,Commercial,36635053719_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36635053719_Commercial.xlsx
Москва,36635059832,Практики современного искусства,Commercial,36635059832_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36635059832_Commercial.xlsx
Москва,36634873573,Прикладная политология,Budget,36634873573_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634873573_Budget.xlsx
Москва,36634873573,Прикладная политология,Commercial,36634873573_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634873573_Commercial.xlsx
Москва,36634210173,Прикладная социальная психология,Budget,36634210173_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634210173_Budget.xlsx
Москва,36634210173,Прикладная социальная психология,Commercial,36634210173_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634210173_Commercial.xlsx
Москва,36634398922,Прикладная электроника и фотоника,Budget,36634398922_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634398922_Budget.xlsx
Москва,36634398922,Прикладная электроника и фотоника,Commercial,36634398922_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634398922_Commercial.xlsx
Москва,36634163420,Прикладные модели искусственного интеллекта,Budget,36634163420_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634163420_Budget.xlsx
Москва,36634163420,Прикладные модели искусственного интеллекта,Commercial,36634163420_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634163420_Commercial.xlsx
Москва,36971513712,Прикладные нейросетевые технологии,Commercial,36971513712_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36971513712_Commercial.xlsx
Москва,36634777602,"Программа двух дипломов НИУ ВШЭ и Университета Кёнхи ""Экономика, политика и бизнес в Азии""",Commercial,36634777602_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634777602_Commercial.xlsx
